Lane, Study number,Accession,Contig Accession number,Species ,Kingdom,Phylum,Class,Order,Family,Genus,LEE,LEE_Type,Continet,Country,DataBase,OAnt,Linked.Serotype,Reference.For.Linked.Serotype,Pathovar,Wild.Hosts,Phylogroup_N,ST,aaiC,aap,aar,aatA,agg,ailA,air,astA,capU,cba,cdtB,celb,cif,cma,cnf1,eae,efa1,ehxA,eilA,esp,etpD,f17,gad,iha,IpfA,ireA,iroN,iss,katP,ltcA,mch,mcmA,nle,pic,sat,senB,sepA,sfaS,stx,tccP,tir,vat,mdf.A.,mph.A,fosA,fosA7,sul1,sul2,tet.A.,tet.B.,aac.3..Via,aadA1,aadA5,aph.3...Ia,aph.3....Ib,aph.6..Id,blaTEM.1B,catA1,dfrA8,dfrA17,Nalidixic.acid.Ciprofloxacin,Erythromycin.Azithromycin.Telithromycin,Number.of.contigs,N50.value,Number of total reads,X%of Reads Unclassified,X%of Reads Escherichia coli,Ampicillin,Cefotaxime,Ceftazidime,Cefuroxime,Cephalothin,Ciprofloxacin,Gentamycin,Tobramycin,Trimethoprim
24742_1#23, PRJEB23294 ,ERS1994968, CAJGVV010000001-CAJGVV010000041 ,Tapirus bairdii,Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirus,NF,NF,North America,Mexico,Souza,Onovel5,Onovel5:H7,No report,NF,Wild,B2,4291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,6,870195,1.38,87.76,R,S,S,S,S,S,S,S,S
24742_1#119, PRJEB23294 ,ERS1995089, CAJGWC010000001-CAJGWC010000060 ,Trichechus manatus,Animalia,Chordata,Mammalia,Sirenia,Trichechidae,Trichechus,NF,NF,North America,Mexico,Souza,Onovel5,Onovel5:H21,https://journals.sagepub.com/doi/pdf/10.1177/104063871002200234,STEC,Wild,B1,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,9,924284,2.12,48.6,S,S,S,S,S,S,S,S,S
24742_1#114, PRJEB23294 ,ERS1995084, CAJGVY010000001-CAJGVY010000056 ,Trichechus manatus,Animalia,Chordata,Mammalia,Sirenia,Trichechidae,Trichechus,NF,NF,North America,Mexico,Souza,Onovel5,Onovel5:H21,https://journals.sagepub.com/doi/pdf/10.1177/104063871002200234,STEC,Wild,B1,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,9,826941,2.1,48.67,S,S,S,S,S,S,S,S,S
25964_1#127, PRJEB23294 ,ERS2428250, CAJGVU010000001-CAJGVU010000041 ,Hydrochaeris hydrochaeris,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Hydrochoerus,NF,NF,South America,Venezuela,Souza,Onovel30,Onovel30:H12,https://aem.asm.org/content/aem/63/6/2175.full.pdf,STEC,Zoo,A,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6,1192893,1.08,51.33,S,S,S,S,S,S,S,S,S
25964_1#108, PRJEB23294,ERS2428231, CAJGVH010000001-CAJGVH010000072 ,Desmodus rotundus,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus,NF,NF,North America,Mexico,Souza,Onovel30,Onovel30:H7,No report,NF,Close to City,B1,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,9,1166153,3.69,48.87,S,S,S,S,S,S,S,S,S
24742_1#43, PRJEB23294,ERS1994992, CAJGWL010000001-CAJGWL010000096 ,Tapirus terrestris,Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirus,NF,NF,South America,Venezuela,Souza,Onovel21,Onovel21:H32,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1287655/,ETEC,Wild,A,1721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,9,748454,1.72,51.46,R,S,S,S,S,S,S,S,S
24742_1#111, PRJEB23294,ERS1995081, CAJGWB010000001-CAJGWB010000089 ,Tapirus terrestris,Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirus,NF,NF,South America,Venezuela,Souza,Onovel21,Onovel21:H32,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1287655/,ETEC,Wild,A,1721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,8,790477,1.29,52.17,R,S,S,S,S,S,S,S,S
25964_1#231, PRJEB23294,ERS2428354, CAJGWJ010000001-CAJGWJ010000054 ,Perognathus penicillatus,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Perognathus,NF,NF,North America,Mexico,Souza,O88,O88:H9,No report,NF,Wild,B1,423,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,8,1283853,3.82,49.91,S,S,S,S,S,S,S,S,S
25964_1#120, PRJEB23294,ERS2428243, CAJGWE010000001-CAJGWE010000080 ,Alouatta palliata,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,LEE,LEENF,North America,Costa Rica,Souza,O88,O88:H18,No report,NF,City,NF,4280,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,6,1059630,7.53,83.05,S,S,S,S,S,S,S,S,S
24742_1#22, PRJEB23294,ERS1994966, CAJGVZ010000001-CAJGVZ010000061 ,Perognathus penicillatus,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Perognathus,NF,NF,North America,Mexico,Souza,O88,O88:H9,No report,NF,Wild,B1,423,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,8,877591,3.95,49.05,S,S,S,S,S,S,S,S,S
