Run,Country,ST_N,DataBase,Phylogroup_N,Human_N,Source_an,Collection.B,Collection.Year,Source,Continet
SRR3726168,NF,69,Enterobase,D,Non,Animal,1997,1997,Animal,NF
SRR3734057,United States,16,Enterobase,B1,Non,Animal,2006,2006,Animal,North America
SRR3734058,United States,16,Enterobase,B1,Non,Animal,2006,2006,Animal,North America
SRR3824148,United States,10,Enterobase,A,Non,Animal,2015,2015,Animal,North America
SRR3824215,United States,10,Enterobase,A,Non,Animal,2015,2015,Animal,North America
SRR3824226,United States,10,Enterobase,A,Non,Animal,2015,2015,Animal,North America
SRR3824539,United States,10,Enterobase,A,Non,Animal,2015,2015,Animal,North America
SRR3824540,United States,10,Enterobase,A,Non,Animal,2015,2015,Animal,North America
SRR3928762,United States,1172,Enterobase,NF,Non,Animal,2015,2015,Animal,North America
SRR3928764,United States,1172,Enterobase,NF,Non,Animal,2015,2015,Animal,North America
SRR3928766,United States,1172,Enterobase,NF,Non,Animal,2015,2015,Animal,North America
SRR3928767,United States,1172,Enterobase,NF,Non,Animal,2015,2015,Animal,North America
SRR3928769,United States,1172,Enterobase,NF,Non,Animal,2015,2015,Animal,North America
SRR3928770,United States,1172,Enterobase,NF,Non,Animal,2015,2015,Animal,North America
SRR3951479,United States,48,Enterobase,A,Non,Animal,1995,1995,Animal,North America
SRR3951480,United States,48,Enterobase,A,Non,Animal,1995,1995,Animal,North America
SRR3973069,United States,10,Enterobase,A,Non,Animal,1997,1997,Animal,North America
SRR3977079,United States,10,Enterobase,A,Non,Animal,1998,1998,Animal,North America
SRR3987628,United States,2248,Enterobase,NF,Non,Animal,1991,1991,Animal,North America
SRR3987919,United States,48,Enterobase,A,Non,Animal,1987,1987,Animal,North America
SRR3987945,Hungary,335,Enterobase,NF,Non,Animal,1988,1988,Animal,Europe
SRR3987968,United States,10,Enterobase,A,Non,Animal,1981,1981,Animal,North America
SRR3987970,United States,29,Enterobase,B1,Non,Animal,1981,1981,Animal,North America
SRR3989740,United States,641,Enterobase,NF,Non,Animal,1993,1993,Animal,North America
SRR3989743,United States,10,Enterobase,A,Non,Animal,1993,1993,Animal,North America
SRR4340475,NF,10,Enterobase,A,Non,Animal,NF,NF,Animal,NF
SRR4340476,Italy,10,Enterobase,A,Non,Animal,NF,NF,Animal,Europe
SRR4340520,NF,29,Enterobase,B1,Non,Animal,NF,NF,Animal,NF
SRR4340521,NF,29,Enterobase,B1,Non,Animal,NF,NF,Animal,NF
SRR5185881,United States,200,Enterobase,B1,Non,Animal,1993,1993,Animal,North America
SRR6412358,United States,29,Enterobase,B1,Non,Animal,1987,1987,Animal,North America
SRR6412470,United States,641,Enterobase,NF,Non,Animal,1987,1987,Animal,North America
SRR6412941,United States,278,Enterobase,AxB1,Non,Animal,1987,1987,Animal,North America
SRR6413768,United States,29,Enterobase,B1,Non,Animal,1987,1987,Animal,North America
SRR6728028,United States,10,Enterobase,A,Non,Animal,1990,1990,Animal,North America
SRR1177174,United States,48,Enterobase,A,Non,Animal,2013,2013,Animal,North America
SRR1177195,United States,973,Enterobase,NF,Non,Animal,2013,2013,Animal,North America
SRR1177254,United States,1582,Enterobase,NF,Non,Animal,2013,2013,Animal,North America
SRR1177280,United States,1582,Enterobase,NF,Non,Animal,2013,2013,Animal,North America
SRR1177282,United States,48,Enterobase,A,Non,Animal,2013,2013,Animal,North America
SRR1177303,United States,48,Enterobase,A,Non,Animal,2013,2013,Animal,North America
SRR1177545,United States,1582,Enterobase,NF,Non,Animal,2013,2013,Animal,North America
SRR1177613,United States,48,Enterobase,A,Non,Animal,2013,2013,Animal,North America
SRR1177632,United States,48,Enterobase,A,Non,Animal,2013,2013,Animal,North America
SRR1177633,United States,48,Enterobase,A,Non,Animal,2013,2013,Animal,North America
SRR1177638,United States,1727,Enterobase,NF,Non,Animal,2013,2013,Animal,North America
SRR1177642,United States,48,Enterobase,A,Non,Animal,2013,2013,Animal,North America
SRR1177643,United States,48,Enterobase,A,Non,Animal,2013,2013,Animal,North America
SRR1178256,United States,218,Enterobase,A,Non,Animal,2013,2013,Animal,North America
SRR1178262,United States,973,Enterobase,NF,Non,Animal,2013,2013,Animal,North America
SRR1178267,United States,10,Enterobase,A,Non,Animal,2013,2013,Animal,North America
SRR1178269,United States,10,Enterobase,A,Non,Animal,2013,2013,Animal,North America
SRR1181524,United States,10,Enterobase,A,Non,Animal,2013,2013,Animal,North America
SRR1201358,United States,48,Enterobase,A,Non,Animal,2013,2013,Animal,North America
SRR1207541,United States,10,Enterobase,A,Non,Animal,2013,2013,Animal,North America
SRR1220804,United States,10,Enterobase,A,Non,Animal,2013,2013,Animal,North America
SRR1263427,United States,69,Enterobase,D,Non,Animal,2013,2013,Animal,North America
SRR1263435,United States,10,Enterobase,A,Non,Animal,2013,2013,Animal,North America
SRR1263443,United States,10,Enterobase,A,Non,Animal,2013,2013,Animal,North America
SRR1264974,United States,10,Enterobase,A,Non,Animal,2013,2013,Animal,North America
SRR1505392,United States,10,Enterobase,A,Non,Animal,2013,2013,Animal,North America
