Gene,MinimumKaKs,MaximumKaKs,MeanKaKs,MedianKaKs,Function,COG,FunctionalClass
group_1639,-834.2936708,6.732040825,-49.10232154,0.893856447,putative epimerase,COG2910,R
ynjH,0.139104336,3.075461923,0.465876557,0.27977123,protein,NF,NA
aslA,0.149216671,3.058535861,1.139348327,0.715765025,arylsulfatase,NF,NA
group_1875,0,2.976573819,0.987143179,0.490348606,formate dehydrogenase H,NF,NA
group_2913,-56.3325396,2.605639998,-2.772611976,0.962382251,sok,NF,NA
aes_1,-2951.133514,2.562703747,-41.16984397,0.205055996,acetyl esterase,NF,NA
etfB_1,0,2.51816855,0.679598909,0.586866571,putative electron transfer flavoprotein beta subunit,COG2086,C
pbpC,-12186.55008,2.512399972,-200.3383759,0.072542726,penicillin-binding protein 1C,COG4953,M
caiE,-829.1838022,2.434919922,-11.22256401,0.152715977,carnitine operon protein CaiE,COG0110,R
nudG,0.177417674,2.42003611,0.579473055,0.445596634,CTP pyrophosphohydrolase,COG2816,F
group_2505,0,2.375195878,0.911028063,0.901924855,hypothetical protein,NF,NA
yegR,-104.2568801,2.362677739,-1.106626884,0.34187981,protein,NF,NA
hyfH,-1667.624545,2.300664537,-133.7169552,0.486440319,hydrogenase-4 component H,COG2768,S
hemD,-178.3427669,2.291840099,-26.56632257,0.830509006,uroporphyrinogen III synthase,COG1587,H
yahE,0,2.286331023,0.379398349,0.349846615,protein,NF,NA
group_4647,-1175.622791,2.266792178,-312.2854372,0.844396478,hypothetical protein,NF,NA
nrdG,-328.1146171,2.264157298,-22.71480463,0.240259016,anaerobic ribonucleoside-triphosphate reductase activating protein,NF,NA
gspM,-186.7517807,2.261399788,-2.118180049,0.258697971,general secretion pathway protein YghD,NF,NA
group_2486,-375.6923685,2.208910835,-19.50149054,0,hypothetical protein,NF,NA
group_2008,0.366171457,2.092012686,1.072775992,1.021385336,hypothetical protein,NF,NA
murB,-1267.200272,2.004943168,-51.77016879,0.142852046,UDP-N-acetylenolpyruvoylglucosamine reductase,COG0812,M
